,순위,영화명,개봉일,매출액,관객수,스크린수,배급사,coach,actor_main_name,actor_sub_name,actor_cameo_name,maker,only_gener,genre_one,year
134,135,이끼,2010.7.14,"25,856,306,126",3408144,736,씨제이이엔엠,강우석,"['정재영', '박해일', '유준상', '유선', '허준호', '유해진', '김상호', '김준배', '유준상']","['강신일', '이철민', '박정재', '최근현', '윤아름', '오순태', '김철현']",,"['시네마서비스', '렛츠필름 ’', '시네마서비스글로벌']"," 드라마, 스릴러 ",드라마,2010
135,136,돈,2019.3.20,"28,869,614,062",3389035,"1,431",쇼박스,박누리,"['류준열', '유지태', '조우진', '손종학', '신재민', '조우진']","['원진아', '정만식', '임세미', '김민재', '김재영', '김종수', '진선규']","['유재명', '남문철', '오대환']","['사나이픽처스', '영화사 월광']", 범죄 ,범죄,2019
136,137,포화속으로,2010.6.16,"24,217,600,897",3385706,736,롯데쇼핑㈜롯데엔터테인먼트,이재한,"['차승원', '권상우', '최승현', '김승우', '문재원']","['김혜성', '신현탁', '신경선', '추종범', '김윤성', '김한준', '윤승훈', '김호원']","['박진희', '데이비드맥기니스']","['태원엔터테인먼트', '유비유필름', '에이치 플러스']"," 드라마, 전쟁 ",드라마,2010
137,138,악인전,2019.5.15,"29,130,540,150",3364360,"1,307","에이스메이커무비웍스,키위미디어그룹",이원태,"['마동석', '김무열', '김성규', '강문봉']","['문동혁', '오희준', '유승목', '유승목', '최민철', '우강민', '우상전', '김윤성', '허동원']","['전배수', '김규리', '차순배', '류태호']",['비에이엔터테인먼트']," 범죄, 액션 ",범죄,2019
138,139,올빼미,2022.11.23,"32,860,420,124",3329547,"1,541",넥스트엔터테인먼트월드(NEW),안태진,"['류준열', '유해진', '최무성']","['조성하', '박명훈', '김성철', '안은진', '조윤서', '이주원', '김예은', '정석원']",,"['씨제스엔터테인먼트 -', '영화사 담담']", 스릴러 ,스릴러,2022
139,140,시동,2019.12.18,"28,098,934,360",3317038,"1,515",넥스트엔터테인먼트월드(NEW),최정열,"['마동석', '박정민', '정해인', '염정아', '최성은']","['김종수', '윤경호', '김경덕']","['고두심', '박해준']",['외유내강'], 드라마 ,드라마,2019
140,141,아이 캔 스피크,2017.9.21,"25,532,214,986",3280243,"1,140","롯데쇼핑㈜롯데엔터테인먼트,리틀빅픽쳐스",김현석,"['나문희', '이제훈']","['박철민', '염혜란', '성유빈', '김소진', '이상희', '정연주', '이지훈', '손숙', '이재인', '최수인']",['이대연'],"['주식회사 영화사 시선', '명필름']", 코미디 ,코미디,2017
141,142,영웅,2022.12.21,"32,293,415,750",3273771,"1,314",씨제이이엔엠,윤제균,"['정성화', '김고은', '나문희', '조재윤', '배정남', '이현우', '박진주']",,,"['제이케이필름', '씨제이이엔엠']"," 드라마, 뮤지컬 ",드라마,2022
142,143,올드보이,2003.11.21,0,3269000,45,"쇼이스트,씨제이이엔엠",박찬욱,"['최민식', '유지태', '강혜정']","['김병옥', '오달수', '이승신', '윤진서', '지대한', '오태경', '유연석']","['이대연', '오광록', '김수현', '용이', '박명신']","['에그필름', '쇼이스트']", 스릴러 ,스릴러,2003
143,144,마녀,2018.6.27,"27,242,029,463",3189091,"1,117",워너브러더스 코리아,박훈정,"['김다미', '조민수', '박희순', '최우식']","['김하나', '정다은', '김기훈', '최정우', '고민시', '오미희', '김병옥', '이주원']","['권태원', '이기영']","['영화사 금월', '페퍼민트앤컴퍼니']"," 미스터리, 액션 ",미스터리,2018
144,145,탐정: 리턴즈,2018.6.13,"26,909,459,678",3152872,"1,041",씨제이이엔엠,이언희,"['권상우', '성동일', '김수영', '김승필']","['이광수', '이일화', '남명렬', '손담비', '최성원', '박성일', '오희준', '서영희', '정연주', '김성규']","['김동욱', '김동욱']",['크리픽쳐스']," 코미디, 범죄 ",코미디,2018
145,146,어린 신부,2004.4.2,0,3149500,50,코리아픽쳐스,김호준,"['김래원', '김보경', '안선영', '문근영']","['진경', '김혜옥', '김인문', '한진희', '송기윤', '선우은숙', '신세경', '박진우', '류덕환']",['전원주'],['컬처캡미디어'], 코미디 ,코미디,2004
146,147,오! 브라더스,2003.9.4,0,3148748,51,쇼박스,김용화,"['이정재', '이범수', '류용진', '이원종']","['박유진', '김준희', '류승수']",,['케이엠컬쳐'], 코미디 ,코미디,2003
147,148,"장화, 홍련",2003.6.13,0,3146217,52,영화사청어람,김지운,"['임수정', '문근영', '염정아', '김갑수', '이영실']","['박미현', '우기홍', '이승비']",,"['마술피리', '영화사봄']", 공포(호러) ,공포(호러),2003
